"participation","program","subsample","method","covariates","variable","coefficient","se","p_value","F_stat","N"
"12m","abc",FALSE,"ITT","all","Constant",-3.54663967207747,1.90593000567588,0.0659951701241074,NA,103
"12m","abc",FALSE,"ITT","all","R",1.0502057137231,0.184063282763659,1.43026229775516e-07,NA,103
"12m","abc",FALSE,"ITT","all","m_iq",0.0264575289950457,0.00865529119678561,0.00293654496968251,NA,103
"12m","abc",FALSE,"ITT","all","black",-0.593301369560245,0.772226129689743,0.444298192889027,NA,103
"12m","abc",FALSE,"ITT","all","sex",-0.0403984156457792,0.185663852408201,0.828236486129252,NA,103
"12m","abc",FALSE,"ITT","all","m_age",0.0260233967949918,0.0313990075812354,0.409388003180159,NA,103
"12m","abc",FALSE,"ITT","all","m_edu_2",-0.451558221855,0.223916191615397,0.0466807099164235,NA,103
"12m","abc",FALSE,"ITT","all","m_edu_3",0.140592947669905,0.503950080683695,0.7808917492735,NA,103
"12m","abc",FALSE,"ITT","all","sibling",-0.0391824331749105,0.140675988084292,0.781237745529048,NA,103
"12m","abc",FALSE,"ITT","all","gestage",0.0246160080010838,0.0370873406916597,0.508540759830542,NA,103
"12m","abc",FALSE,"ITT","all","mf",0.141298723197011,0.235313087024361,0.549684838665341,NA,103
"12m","abc",FALSE,"ITT","all","poverty",-0.19402884873258,0.325654447104825,0.552779829396406,NA,103
"12m","abc",FALSE,"ITT","short","Constant",-2.97367851345937,0.765931099111487,0.000186684040276993,NA,103
"12m","abc",FALSE,"ITT","short","R",0.968003397201768,0.17359953444747,2.13549824861585e-07,NA,103
"12m","abc",FALSE,"ITT","short","m_iq",0.0246328484236951,0.00753335611128075,0.00148088839241203,NA,103
"12m","abc",FALSE,"ITT","short","m_age",0.0189260253764766,0.0178073479091077,0.290448751312352,NA,103
"12m","abc",FALSE,"LATE","none","Constant",-0.599708000427168,0.137033689754427,2.94592191708822e-05,358.903878761706,103
"12m","abc",FALSE,"LATE","none","D",1.1008203404528,0.202109551167638,3.62515245713313e-07,358.903878761706,103
"12m","abc",FALSE,"LATE","all","Constant",-4.27885549986105,1.88424306499295,0.0255142969663874,318.211430020511,103
"12m","abc",FALSE,"LATE","all","D",1.19262389430693,0.202627021614988,6.53284454096712e-08,318.211430020511,103
